href,title,_text
/download/2C4C5DA9-0D42-48FD-AC87-9676F29B0661,28.09.2022 15:08:16 разместил пользователь Мирошина Светлана Юрьевна (Аппарат Комитета Государственной Думы по бюджету и налогам),Текст внесенного законопроекта (Комитет Государственной Думы по бюджету и налогам)
/download/25249245-5CE6-428F-B824-1961F6B9D40D,28.09.2022 19:09:05 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),Пояснительная записка к законопроекту (Комитет Государственной Думы по бюджету и налогам)
/download/8B4646E3-BF4B-4655-848F-A148DB718F68,28.09.2022 15:08:03 разместил пользователь Новиков Дмитрий Андреевич (Аппарат Комитета Государственной Думы по бюджету и налогам),Финансово-экономическое обоснование (Комитет Государственной Думы по бюджету и налогам)
/download/79702D68-8ECC-4B6E-9D9D-E744DB1058E5,28.09.2022 15:05:29 разместил пользователь Новиков Дмитрий Андреевич (Аппарат Комитета Государственной Думы по бюджету и налогам),Сопроводительное письмо СПЗИ (Комитет Государственной Думы по бюджету и налогам)
/download/AB43FFD2-0E91-4414-B416-D2A1BAE86EF2,29.09.2022 11:06:17 разместил пользователь Мирошина Светлана Юрьевна (Аппарат Комитета Государственной Думы по бюджету и налогам),Постановление коллегиального органа о внесении законопроекта (Комитет Государственной Думы по бюджету и налогам)
/download/DF3A8207-FF37-458B-B2ED-5D00DB13A2E1,28.09.2022 13:35:36 разместил пользователь CАДД,Пакет документов при внесении
/download/DEA30BE4-658D-41E3-8745-00E45260758C,29.09.2022 10:53:01 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),Паспорт государственной программы (комплексной программы) Российской Федерации «Развитие судостроения и техники для освоения шельфовых месторождений»
/download/24843493-B83B-41E0-8E3F-436893D42322,29.09.2022 13:00:21 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),"Субсидии на реализацию программы государственной поддержки традиционной хозяйственной деятельности коренных малочисленных народов Российской Федерации, осуществляемой в Арктической зоне Российской Федерации (расчет)"
/download/9FDF3233-D76A-45C4-8B92-3F97D983F784,29.09.2022 12:52:32 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),Создание и модернизация объектов спортивной инфраструктуры региональной собственности (муниципальной собственности) для занятий физической культурой и спортом 2 (Расчет) (Комитет Государственной Думы по бюджету и налогам)
/download/8446CEA9-FF71-458B-861D-C79FDA9A465A,29.09.2022 13:45:01 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),Создание центров выявления и поддержки одаренных детей (Расчет) (Комитет Государственной Думы по бюджету и налогам)
