year	number	party_name	report_date	report_url	verify_url
2020	1.	Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	 31.03.2021 	/politparty/finance/svodn_otchet_20/EDINAYA_ROSSIA.PDF	/politparty/finance/svodn_otchet_20/EDINAYA_ROSSIA.doc
2020	2.	Политическая партия 			«КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ»	 29.03.2021 	/politparty/finance/svodn_otchet_20/KPRF.PDF	/politparty/finance/svodn_otchet_20/KPRF.docx
2020	3.	Политическая партия ЛДПР – Либерально-демократическая партия Россия	 30.03.2021 	/politparty/finance/svodn_otchet_20/LDPR.PDF	/politparty/finance/svodn_otchet_20/LDPR.docx
2020	4.	Политическая партия «ПАТРИОТЫ РОССИИ»	 01.04.2021 	/politparty/finance/svodn_otchet_20/PATRIOTY.PDF	/politparty/finance/svodn_otchet_20/PATRIOTY.docx
2020	5.	Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	 30.03.2021 	/politparty/finance/svodn_otchet_20/YABLOKO.PDF	/politparty/finance/svodn_otchet_20/YABLOKO.doc
2020	6.	Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	 30.03.2021 	/politparty/finance/svodn_otchet_20/SPRAVEDLIVAYA.PDF	/politparty/finance/svodn_otchet_20/SPRAVEDLIVAYA.doc
2020	7.	Всероссийская политическая партия «ПАРТИЯ РОСТА»	 25.03.2021 	/politparty/finance/svodn_otchet_20/PARTIA_ROSTA.PDF	/politparty/finance/svodn_otchet_20/PARTIA_ROSTA.docx
2020	8.	Политическая партия «Партия народной свободы» (ПАРНАС)	 08.02.2021 	/politparty/finance/svodn_otchet_20/PARNAS.PDF	/politparty/finance/svodn_otchet_20/PARNAS.docx
2020	9.	Политическая партия "Демократическая партия России"	 08.02.2021 	/politparty/finance/svodn_otchet_20/DEMOKR_PARITYA.PDF	/politparty/finance/svodn_otchet_20/DEMOKR_PARTIYA.doc
2020	10.	Политическая партия "ПАРТИЯ ПРОГРЕССА"	 08.02.2021 	/politparty/finance/svodn_otchet_20/PROGRESSA.PDF	/politparty/finance/svodn_otchet_20/PROGRESSA.doc
2020	11.	Политическая партия РОССИЙСКАЯ ПАРТИЯ СВОБОДЫ И СПРАВЕДЛИВОСТИ (Прежнее наименование: Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ)	 11.02.2021 	/politparty/finance/svodn_otchet_20/KPSS.PDF	/politparty/finance/svodn_otchet_20/KPSS.doc
2020	12.	Политическая партия «Российская экологическая партия «Зелёные»	 29.03.2021 	/politparty/finance/svodn_otchet_20/ZELENIYE.PDF	/politparty/finance/svodn_otchet_20/ZELENIYE.docx
2020	13.	Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	 23.03.2021 	/politparty/finance/svodn_otchet_20/KOMMUNISTY_ROSSII.PDF	/politparty/finance/svodn_otchet_20/KOMMUNISTY_ROSSII.docx
2020	14.	ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ – ПОЛИТИЧЕСКАЯ ПАРТИЯ «РОССИЙСКИЙ ОБЩЕНАРОДНЫЙ СОЮЗ»	 30.03.2021 	/politparty/finance/svodn_otchet_20/ROS.PDF	/politparty/finance/svodn_otchet_20/ROS.docx
2020	15.	Всероссийская политическая партия ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ!	 22.01.2021 	/politparty/finance/svodn_otchet_20/ZA_SPRAVED.PDF	/politparty/finance/svodn_otchet_20/ZA_SPRAVED.doc
2020	16.	Политическая партия СОЦИАЛЬНОЙ ЗАЩИТЫ	 24.02.2021 	/politparty/finance/svodn_otchet_20/SOC_ZASCHITY.PDF	/politparty/finance/svodn_otchet_20/SOC_ZASCHITY.doc
2020	17.	Общественная организация Всероссийская политическая партия «Гражданская Сила»	 29.01.2021 	/politparty/finance/svodn_otchet_20/GRAZНD_SILA.PDF	/politparty/finance/svodn_otchet_20/GRAZHD_SILA.doc
2020	18.	Политическая партия «Российская партия пенсионеров за социальную справедливость»	 30.03.2021 	/politparty/finance/svodn_otchet_20/PENS_ZA_SPR.PDF	/politparty/finance/svodn_otchet_20/PENS_ZA_SPR.docx
2020	19.	Политическая партия «Гражданская Платформа»	 01.04.2021 	/politparty/finance/svodn_otchet_20/GRAZHD_PLATFORМA.PDF	/politparty/finance/svodn_otchet_20/GRAZHD_PLATFORMA.doc
2020	20.	Всероссийская политическая партия «ПАРТИЯ ДЕЛА»	 25.03.2021 	/politparty/finance/svodn_otchet_20/DELA.PDF	/politparty/finance/svodn_otchet_20/DELA.docx
2020	21.	ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ «РОДИНА»	 29.03.2021 	/politparty/finance/svodn_otchet_20/RODINA.PDF	/politparty/finance/svodn_otchet_20/RODINA.doc
2020	22.	Политическая партия «Казачья партия Российской Федерации»	 23.03.2021 	/politparty/finance/svodn_otchet_20/KAZACHYA.PDF	/politparty/finance/svodn_otchet_20/KAZACHYA.docx
2020	23.	Всероссийская политическая партия «Гражданская инициатива»	 20.01.2021 	/politparty/finance/svodn_otchet_20/GRAZD_INIC.PDF	/politparty/finance/svodn_otchet_20/GRAZD_INIC.docx
2020	24.	Политическая партия «Партия Возрождения России»	 01.04.2021 	/politparty/finance/svodn_otchet_20/VOZROZHDENIA_ROSSII.pdf	/politparty/finance/svodn_otchet_20/VOZROZHDENIA_ROSSII.doc
2020	25.	Политическая партия «Партия Социальных Реформ - Прибыль от природных ресурсов - Народу»	 31.03.2021 	/politparty/finance/svodn_otchet_20/SOC_REFORМ.PDF	/politparty/finance/svodn_otchet_20/SOC_REFORM.doc
2020	26.	Политическая партия «Альтернатива для России (Партия Социалистического выбора)»	 31.03.2021 	/politparty/finance/svodn_otchet_20/ALTER_D_ROS.PDF	/politparty/finance/svodn_otchet_20/ALTER_D_ROS.docx
2020	27.	Политическая партия «Партия Малого Бизнеса России»	 25.03.2021 	/politparty/finance/svodn_otchet_20/MAL_BIZ.PDF	/politparty/finance/svodn_otchet_20/MAL_BIZ.docx
2020	28.	Политическая партия «Народно-патриотическая партия России – Власть Народу»	 25.02.2021 	/politparty/finance/svodn_otchet_20/VLAST_NARODU.PDF	/politparty/finance/svodn_otchet_20/VLAST_NARODU.docx
2020	29.	Политическая партия «НОВЫЕ ЛЮДИ»	 31.03.2021 	/politparty/finance/svodn_otchet_20/NOVIE_LYUDI.PDF	/politparty/finance/svodn_otchet_20/NOVIE_LYUDI.docx
2020	30.	Политическая партия «ЗА ПРАВДУ»	 24.03.2021 	/politparty/finance/svodn_otchet_20/ZA_PRAVDU.PDF	/politparty/finance/svodn_otchet_20/ZA_PRAVDU.docx
2020	31.	Политическая партия ЗЕЛЕНАЯ АЛЬТЕРНАТИВА	 11.02.2021 	/politparty/finance/svodn_otchet_20/ZELEN_ALTER.PDF	/politparty/finance/svodn_otchet_20/ZELEN_ALTER.doc
2020	32.	Политическая партия «Партия прямой демократии»	 11.02.2021 	/politparty/finance/svodn_otchet_20/PRYAMOI_DEM.PDF	/politparty/finance/svodn_otchet_20/PRYAMOI_DEM.doc
2019	1	Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	 27.03.2020 	/politparty/finance/svodn_otchet_19/EDINAYA_ROSSIA.PDF	/politparty/finance/svodn_otchet_19/EDINAYA_ROSSIA.doc
2019	2	Политическая партия «КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ»	 26.03.2020 	/politparty/finance/svodn_otchet_19/KPRF.PDF	/politparty/finance/svodn_otchet_19/KPRF.docx
2019	3	Политическая партия ЛДПР – Либерально-демократическая партия России	 27.03.2020 	/politparty/finance/svodn_otchet_19/LDPR.PDF	/politparty/finance/svodn_otchet_19/LDPR.docx
2019	4	Политическая партия «ПАТРИОТЫ РОССИИ»	 27.03.2020 	/politparty/finance/svodn_otchet_19/PATRIOTY.PDF	/politparty/finance/svodn_otchet_19/PATRIOTY.doc
